temperature_c,humidity_pct,rainfall_mm,stagnant_water,population_density,prior_cases_30d,risk_level
30.7,53.0,72.0,1,397.0,2,2
26.8,40.0,81.0,1,801.0,3,2
24.3,91.0,59.0,1,3639.0,1,2
26.6,74.0,149.0,0,721.0,2,2
25.4,74.0,89.0,1,380.0,2,2
24.3,34.0,118.0,0,1282.0,3,1
29.3,60.0,201.0,1,1318.0,2,2
28.0,76.0,122.0,0,1928.0,3,2
29.1,83.0,56.0,1,1219.0,1,2
33.1,56.0,74.0,0,1029.0,1,1
19.4,53.0,142.0,0,1906.0,2,1
17.6,47.0,32.0,0,495.0,2,0
21.9,84.0,75.0,0,1090.0,5,2
27.0,28.0,86.0,0,2946.0,1,2
27.8,68.0,184.0,0,445.0,3,2
22.9,16.0,94.0,0,1771.0,7,1
26.6,82.0,15.0,0,2729.0,3,2
22.5,49.0,38.0,1,2714.0,3,2
17.6,86.0,136.0,0,456.0,2,1
18.8,43.0,97.0,1,1627.0,3,1
30.3,70.0,41.0,0,617.0,4,2
16.9,75.0,69.0,1,2331.0,3,2
33.2,57.0,25.0,0,2041.0,2,1
27.3,31.0,26.0,1,578.0,1,2
21.4,48.0,20.0,0,800.0,2,0
25.9,49.0,156.0,1,1702.0,3,2
21.0,80.0,32.0,0,1253.0,4,1
36.6,60.0,19.0,1,974.0,4,1
24.4,81.0,182.0,1,954.0,3,2
20.2,97.0,35.0,1,463.0,1,1
42.0,24.0,86.0,1,357.0,3,0
26.6,69.0,48.0,0,2750.0,3,2
31.2,57.0,131.0,0,2274.0,1,2
27.8,77.0,48.0,1,2299.0,3,2
28.6,59.0,75.0,0,1001.0,3,2
31.3,66.0,112.0,0,1035.0,5,2
32.1,40.0,37.0,0,1765.0,2,0
22.3,47.0,164.0,0,1213.0,2,1
26.4,67.0,51.0,0,1110.0,3,2
27.2,35.0,108.0,1,1152.0,4,2
25.2,42.0,68.0,1,1417.0,2,2
35.0,68.0,145.0,1,633.0,3,2
34.5,66.0,70.0,1,1866.0,4,2
12.6,54.0,43.0,0,3055.0,1,0
31.4,60.0,52.0,0,3871.0,4,2
30.0,55.0,83.0,0,2810.0,3,2
30.4,58.0,124.0,0,1222.0,5,2
29.7,50.0,129.0,0,1961.0,2,2
24.5,34.0,105.0,1,1625.0,3,2
36.6,83.0,18.0,1,1438.0,2,1
10.9,76.0,39.0,0,613.0,4,0
15.2,33.0,103.0,0,1114.0,2,0
19.7,41.0,45.0,0,137.0,2,0
28.8,100.0,229.0,0,1488.0,4,2
22.2,75.0,19.0,0,344.0,5,1
27.4,89.0,23.0,0,467.0,5,2
22.3,46.0,114.0,0,1357.0,7,1
21.0,81.0,114.0,0,753.0,6,2
29.4,51.0,89.0,0,1897.0,5,2
30.0,43.0,75.0,1,1560.0,5,2
40.2,69.0,299.0,0,3346.0,6,2
28.6,42.0,20.0,0,2556.0,2,1
24.3,57.0,74.0,0,691.0,3,1
24.3,54.0,120.0,0,2182.0,1,2
14.8,18.0,46.0,0,771.0,4,0
30.5,29.0,119.0,0,2195.0,0,1
27.9,68.0,118.0,0,2670.0,4,2
26.0,51.0,87.0,0,763.0,3,2
27.4,80.0,58.0,0,1624.0,2,2
21.1,68.0,190.0,1,2097.0,1,2
13.5,62.0,23.0,1,598.0,3,1
25.7,97.0,24.0,0,1053.0,2,2
25.0,75.0,131.0,0,1074.0,3,2
28.4,68.0,35.0,1,879.0,7,2
27.6,77.0,168.0,0,430.0,4,2
27.5,73.0,78.0,1,932.0,2,2
23.1,63.0,62.0,0,1147.0,4,1
39.0,69.0,66.0,0,648.0,7,1
33.9,53.0,162.0,0,2578.0,3,1
21.3,80.0,141.0,0,1062.0,7,2
35.2,59.0,37.0,1,1020.0,4,1
29.5,76.0,36.0,1,1111.0,3,2
17.7,56.0,46.0,0,2004.0,3,0
34.1,21.0,69.0,0,446.0,3,0
24.2,71.0,82.0,0,851.0,3,2
24.5,100.0,179.0,0,2530.0,3,2
25.8,47.0,55.0,1,647.0,7,2
27.8,62.0,117.0,1,1183.0,2,2
25.5,70.0,126.0,1,522.0,3,2
32.8,72.0,89.0,0,2561.0,3,2
37.0,81.0,65.0,1,555.0,3,2
24.9,56.0,201.0,0,446.0,3,2
17.9,53.0,131.0,1,889.0,4,1
24.3,44.0,79.0,1,364.0,1,2
21.6,74.0,24.0,0,1260.0,4,1
23.7,81.0,14.0,0,1678.0,5,2
18.7,71.0,32.0,0,3298.0,4,1
29.7,68.0,81.0,1,582.0,4,2
18.5,61.0,44.0,1,1604.0,7,2
20.1,89.0,25.0,0,1841.0,4,1
36.6,97.0,55.0,0,885.0,2,1
18.1,62.0,30.0,0,5234.0,6,1
19.4,48.0,53.0,0,1896.0,4,0
36.2,40.0,205.0,1,998.0,1,1
26.3,81.0,48.0,1,810.0,1,2
20.1,42.0,132.0,0,458.0,2,0
20.8,55.0,107.0,1,2160.0,3,2
42.0,52.0,120.0,0,3460.0,4,1
31.9,97.0,16.0,1,2986.0,1,2
28.7,82.0,179.0,0,1536.0,1,2
32.0,93.0,104.0,0,5065.0,5,2
24.9,58.0,61.0,0,1913.0,1,1
27.8,85.0,98.0,0,3056.0,3,2
29.9,81.0,43.0,0,6529.0,3,2
23.6,73.0,14.0,1,1349.0,3,2
27.6,52.0,144.0,0,2964.0,2,2
36.2,65.0,19.0,1,2537.0,5,2
